start_date,end_date,start_act360_years,true_forward_rate,recovered_forward_rate,error_bp
2046-11-30,2046-12-28,20.494444444444444,0.07334650880908741,0.07288708101370865,-4.594277953787612
2046-12-07,2047-01-04,20.51388888888889,0.07334380663086051,0.07288708101370293,-4.567256171575801
2046-12-14,2047-01-11,20.533333333333335,0.07334110707146449,0.07288708101370579,-4.540260577586968
2046-12-21,2047-01-18,20.552777777777777,0.07333841015296169,0.07288708101370865,-4.5132913925304
2046-12-28,2047-01-25,20.572222222222223,0.0733357158971775,0.07288708101370579,-4.486348834717019
2047-01-04,2047-02-01,20.591666666666665,0.07333302432577174,0.0728870810137115,-4.45943312060243
2047-01-11,2047-02-08,20.61111111111111,0.0733303354602101,0.07288708101370865,-4.43254446501451
2047-01-18,2047-02-15,20.630555555555556,0.0733276493217356,0.07288708101370579,-4.405683080298123
2047-01-25,2047-02-22,20.65,0.07332496593142565,0.07288708101370865,-4.378849177169991
2047-02-01,2047-03-01,20.669444444444444,0.07332228531014355,0.07288708101370865,-4.35204296434899
2047-02-08,2047-03-08,20.68888888888889,0.07331960747857849,0.07288708101370579,-4.325264648726984
2047-02-15,2047-03-15,20.708333333333332,0.07331693245722835,0.07288708101370865,-4.298514435197021
2047-02-22,2047-03-22,20.727777777777778,0.07331426026638546,0.07288708101370865,-4.271792526768098
2047-03-01,2047-03-29,20.747222222222224,0.07331159092617945,0.07288708101370579,-4.245099124736557
2047-03-08,2047-04-05,20.766666666666666,0.07330892445651724,0.07288708101370865,-4.218434428085866
2047-03-15,2047-04-12,20.78611111111111,0.07330626087714874,0.07288708101370579,-4.191798634429478
2047-03-22,2047-04-19,20.805555555555557,0.07330360020762404,0.07288708101370579,-4.165191939182467
2047-03-29,2047-04-26,20.825,0.07330094246731621,0.07288708101370865,-4.138614536075558
2047-04-05,2047-05-03,20.844444444444445,0.0732982876754156,0.07288708101370579,-4.112066617098092
2047-04-12,2047-05-10,20.863888888888887,0.07329563585092133,0.07288708101370865,-4.085548372126796
2047-04-19,2047-05-17,20.883333333333333,0.07329298701265545,0.07288708101370865,-4.0590599894679835
2047-04-26,2047-05-24,20.90277777777778,0.07329034117925451,0.07288708101370579,-4.032601655487161
2047-05-03,2047-05-31,20.92222222222222,0.07328769836919229,0.07288708101370865,-4.006173554836345
2047-05-10,2047-06-07,20.941666666666666,0.07328505860073418,0.07288708101370865,-3.979775870255331
2047-05-17,2047-06-14,20.961111111111112,0.07328242189200568,0.07288708101370579,-3.953408782998852
2047-05-24,2047-06-21,20.980555555555554,0.07327978826091819,0.07288708101370865,-3.9270724720953663
2047-05-31,2047-06-28,21.0,0.07327715772522606,0.07288708101370865,-3.9007671151740366
2047-06-07,2047-07-05,21.019444444444446,0.07327453030252094,0.07288708101370579,-3.874492888151504
