scenario,reference_date,method,bump_bp,shock_index,shock_tenor,node_index,node_tenor,node_date,maturity_distance,central_sensitivity_bp_per_bp,curvature_bp_per_bp2
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,10,7Y,2033-09-21,6,-0.0018830531692964891,1.1791111143022448e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,11,10Y,2036-09-22,7,-0.0013483084811138912,8.267536655282015e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,12,15Y,2041-09-20,8,-0.0009302346790779348,5.529722513220037e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,13,20Y,2046-09-20,9,-0.0007126594616518878,4.154103450115798e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,14,30Y,2056-09-20,10,-0.00048560566859312537,2.774760976542723e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,0,1M,2026-10-21,-5,-1.2212453270876722e-11,0.0
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,1,2M,2026-11-20,-4,-6.38378239159465e-12,-3.858025010572419e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,2,3M,2026-12-22,-3,6.453171330633722e-12,-6.425415755018093e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,3,6M,2027-03-22,-2,0.0,8.548717289613705e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,4,9M,2027-06-22,-1,-1.5265566588595902e-12,1.0075273948473296e-10
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,5,1Y,2027-09-22,0,1.0389751541860226,8.068801210514565e-05
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,6,2Y,2028-09-20,1,-0.026433312778420537,5.833441646396764e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,7,3Y,2029-09-20,2,-0.015202565316896344,4.013632204369344e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,8,4Y,2030-09-20,3,-0.011308182026117941,3.008787524683143e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,9,5Y,2031-09-22,4,-0.00902407998291943,2.4049602587172814e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,10,7Y,2033-09-21,5,-0.006507101193153897,1.7206946978376436e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,11,10Y,2036-09-22,6,-0.004660781910414968,1.2073692046143947e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,12,15Y,2041-09-20,7,-0.0032171417599369256,8.084788394313591e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,13,20Y,2046-09-20,8,-0.0024654001722773655,6.078547387655675e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,5,1Y,14,30Y,2056-09-20,9,-0.0016804214388738137,4.062920833103334e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,0,1M,2026-10-21,-6,2.4424906541753444e-11,2.4424906541753444e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,1,2M,2026-11-20,-5,9.575673587391975e-12,-3.219646771412954e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,2,3M,2026-12-22,-4,2.1510571102112408e-12,-5.564992910933597e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,3,6M,2027-03-22,-3,-2.2898349882893854e-12,8.090750291955828e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,4,9M,2027-06-22,-2,-7.632783294297951e-13,9.3119956190435e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,5,1Y,2027-09-22,-1,-4.093947403305265e-12,7.591149930874508e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,6,2Y,2028-09-20,0,1.0324085472172144,0.00010592426089028883
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,7,3Y,2029-09-20,1,-0.05339066280210525,9.207000162270162e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,8,4Y,2030-09-20,2,-0.03653800497521731,7.1257022504767065e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,9,5Y,2031-09-22,3,-0.02917253509149287,5.691043469813195e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,10,7Y,2033-09-21,4,-0.021035342368733168,4.08378844629631e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,11,10Y,2036-09-22,5,-0.015066192554230584,2.888181638294185e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,12,15Y,2041-09-20,6,-0.010398962805996392,1.9572052312177846e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,13,20Y,2046-09-20,7,-0.007968782522252416,1.4829014405304264e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,6,2Y,14,30Y,2056-09-20,8,-0.005431344242898262,9.99197530271445e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,0,1M,2026-10-21,-7,0.0,0.0
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,1,2M,2026-11-20,-6,3.2612801348363973e-12,-6.522560269672795e-12
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,2,3M,2026-12-22,-5,-2.1510571102112408e-12,-4.704570066849101e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,3,6M,2027-03-22,-4,-1.1102230246251565e-12,1.1907141939104804e-10
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,4,9M,2027-06-22,-3,3.885780586188048e-12,1.0852430065710905e-10
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,5,1Y,2027-09-22,-2,-4.649058915617843e-12,7.480127628411992e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,6,2Y,2028-09-20,-1,9.71445146547012e-13,3.469446951953614e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,7,3Y,2029-09-20,0,1.06924106614191,0.00023386231326472107
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,8,4Y,2030-09-20,1,-0.061919918055430845,1.2752645606184387e-05
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,9,5Y,2031-09-22,2,-0.04546559306137232,1.0893797808275707e-05
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,10,7Y,2033-09-21,3,-0.032816731687507206,7.805737167743132e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,11,10Y,2036-09-22,4,-0.0235033757889358,5.510195633107173e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,12,15Y,2041-09-20,5,-0.016221511235856023,3.7239129835331397e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,13,20Y,2046-09-20,6,-0.012430186772036111,2.8166875776225453e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,7,3Y,14,30Y,2056-09-20,7,-0.008471830024517346,1.8945715829499221e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,0,1M,2026-10-21,-8,6.106226635438361e-12,-3.6637359812630166e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,1,2M,2026-11-20,-7,6.453171330633722e-12,-5.1486592766991635e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,2,3M,2026-12-22,-6,2.1510571102112408e-12,-7.28583859910259e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,3,6M,2027-03-22,-5,4.5102810375396984e-12,6.730727086790012e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,4,9M,2027-06-22,-4,8.396061623727746e-12,7.78543896018391e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,5,1Y,2027-09-22,-3,5.828670879282072e-12,6.300515664747763e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,6,2Y,2028-09-20,-2,4.718447854656915e-12,2.7200464103316335e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,7,3Y,2029-09-20,-1,2.0122792321330962e-12,3.2057689836051395e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,8,4Y,2030-09-20,0,1.1079797034006105,0.0003807851577108945
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,9,5Y,2031-09-22,1,-0.0735679651368143,1.526254414518924e-05
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,10,7Y,2033-09-21,2,-0.04496072862611444,1.3237187457271204e-05
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,11,10Y,2036-09-22,3,-0.03221865320882089,9.332470074507881e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,12,15Y,2041-09-20,4,-0.022236751456433668,6.300232280320728e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,13,20Y,2046-09-20,5,-0.017039626565920618,4.762185784601414e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,8,4Y,14,30Y,2056-09-20,6,-0.011613471678911802,3.200973375250271e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,0,1M,2026-10-21,-9,1.2212453270876722e-11,-2.4424906541753444e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,1,2M,2026-11-20,-8,2.2551405187698492e-11,-4.5102810375396984e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,2,3M,2026-12-22,-7,4.3021142204224816e-12,-6.855627177060342e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,3,6M,2027-03-22,-6,7.840950111415168e-12,7.396860901565105e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,4,9M,2027-06-22,-5,9.159339953157541e-12,7.632783294297951e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,5,1Y,2027-09-22,-4,1.1657341758564144e-11,5.6066262743570405e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,6,2Y,2028-09-20,-3,-5.898059818321144e-12,2.706168622523819e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,7,3Y,2029-09-20,-2,-7.632783294297951e-12,2.525757381022231e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,8,4Y,2030-09-20,-1,-9.922618282587337e-12,2.4841240175987878e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,9,5Y,2031-09-22,0,1.1545176417113168,0.0005517091164475296
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,10,7Y,2033-09-21,1,-0.0927126329614697,1.2652969366699907e-05
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,11,10Y,2036-09-22,2,-0.06440726667077123,9.759093116956663e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,12,15Y,2041-09-20,3,-0.04445938123251447,6.641152905384473e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,13,20Y,2046-09-20,4,-0.03406874953190697,5.048420570474832e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,9,5Y,14,30Y,2056-09-20,5,-0.0232200072824984,3.414347415908736e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,10,7Y,0,1M,2026-10-21,-10,-6.106226635438361e-12,1.2212453270876722e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,10,7Y,1,2M,2026-11-20,-9,-3.191891195797325e-12,-3.219646771412954e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,10,7Y,2,3M,2026-12-22,-8,-1.5057399771478686e-11,-4.704570066849101e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,10,7Y,3,6M,2027-03-22,-7,-5.620504062164855e-12,9.200973316580985e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,10,7Y,4,9M,2027-06-22,-6,-3.816391647148976e-12,9.922618282587337e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,10,7Y,5,1Y,2027-09-22,-5,-6.38378239159465e-12,7.133182933216631e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,10,7Y,6,2Y,2028-09-20,-4,-4.649058915617843e-12,3.094746681142624e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,10,7Y,7,3Y,2029-09-20,-3,-3.816391647148976e-12,2.9282132274488504e-11
