date,act360_years,true_discount_factor,log_linear_discount_factor,linear_continuous_zero_discount_factor,log_linear_error,linear_continuous_zero_error
2043-07-31,17.11111111111111,0.29528475805420357,0.29546917627594915,0.2955174549158915,0.00018441822174558586,0.00023269686168791992
2043-08-07,17.130555555555556,0.29486235925990906,0.29504695807930825,0.2950958744303408,0.00018459881939919542,0.00023351517043174175
2043-08-14,17.15,0.2944405794553258,0.29462534322210143,0.2946748670383983,0.00018476376677561968,0.00023428758307247888
2043-08-21,17.169444444444444,0.2940194177434253,0.29420433084217124,0.2942544320033257,0.0001849130987459091,0.00023501425990035685
2043-08-28,17.18888888888889,0.2935988732279945,0.2937839200785926,0.2938345685892711,0.000185046850598114,0.00023569536127659996
2043-09-04,17.208333333333332,0.2931789450136392,0.29336411007167057,0.29341527606126805,0.00018516505803134464,0.00023633104762882384
2043-09-11,17.227777777777778,0.2927596322057877,0.2929448999629386,0.29299655368523386,0.0001852677571508865,0.0002369214794461505
2043-09-18,17.247222222222224,0.29234093391069504,0.29252628889515675,0.29257840072796915,0.00018535498446170529,0.00023746681727410124
2043-09-25,17.266666666666666,0.29192284923544665,0.2921082760123104,0.2921608164571572,0.00018542677686372855,0.0002379672217105444
2043-10-02,17.28611111111111,0.2915053772879621,0.2916908604596078,0.29174380014136214,0.00018548317164568395,0.00023842285340003322
2043-10-09,17.305555555555557,0.29108851717699874,0.291274041383479,0.29132735105002866,0.0001855242064802698,0.00023883387302991999
2043-10-16,17.325,0.2906722680121555,0.2908578179315736,0.29091146845348076,0.00018554991941810428,0.0002392004413252491
2043-10-23,17.344444444444445,0.29025662890387655,0.2904421892527591,0.29049615162292064,0.000185560348882563,0.00023952271904409406
2043-10-30,17.363888888888887,0.28984159896345474,0.29002715449711963,0.290081399830428,0.00018555553366489397,0.00023980086697328318
2043-11-06,17.383333333333333,0.2894271773030351,0.2896127128159532,0.28966721234895904,0.00018553551291811132,0.00024003504592395863
2043-11-13,17.40277777777778,0.2890133630356186,0.28919886336177114,0.28925358845234506,0.00018550032615255452,0.00024022541672646947
2043-11-20,17.42222222222222,0.28860015527506566,0.28878560528829567,0.2888405274152923,0.0001854500132300041,0.00024037214022665232
2043-11-27,17.441666666666666,0.28818755313609934,0.2883729377504582,0.28842802851338034,0.00018538461435885223,0.000240475377281002
2043-12-04,17.461111111111112,0.2877755557343085,0.2879608599043978,0.28801609102306097,0.00018530417008927325,0.00024053528875245256
2043-12-11,17.480555555555554,0.2873641621861524,0.2875493709074595,0.28760471422165806,0.0001852087213071174,0.00024055203550565896
2043-12-18,17.5,0.28695337160896217,0.28713846991819225,0.28719389738736545,0.00018509830923008064,0.0002405257784032777
2043-12-25,17.519444444444446,0.28654318312094557,0.2867281560963476,0.28678363979924726,0.00018497297540204238,0.0002404566783016926
2044-01-01,17.538888888888888,0.28613359584118986,0.28631842860287776,0.28637394073723604,0.00018483276168790308,0.00024034489604618514
2044-01-08,17.558333333333334,0.2857246088896643,0.2859092865999337,0.2859647994821317,0.00018467771026942081,0.00024019059246743746
