date,act360_years,true_discount_factor,log_linear_discount_factor,linear_continuous_zero_discount_factor,cubic_continuous_zero_discount_factor,log_linear_error,linear_continuous_zero_error,cubic_continuous_zero_error
2036-11-28,10.344444444444445,0.48641854827940584,0.48647022284994845,0.48653434986714944,0.48641557187346746,5.1674570542614706e-05,0.0001158015877436025,-2.9764059383818875e-06
2036-12-05,10.363888888888889,0.48572540269828324,0.48577318753536525,0.4858487109046714,0.4857224395232811,4.778483708200998e-05,0.00012330820638817297,-2.9631750021463787e-06
2036-12-12,10.383333333333333,0.4850331731879932,0.48507715096275433,0.48516393621891585,0.4850302339798692,4.397777476111697e-05,0.00013076303092263153,-2.9392081239976164e-06
2036-12-19,10.402777777777779,0.48434185925026824,0.48438211170107526,0.48448002487931396,0.4843389544468038,4.025245080702122e-05,0.00013816562904572782,-2.904803464431893e-06
2036-12-26,10.422222222222222,0.48365146038225226,0.4836880683213387,0.4837969759560653,0.48364860012667665,3.6607939086441554e-05,0.0001455155738130376,-2.8602555756096493e-06
2037-01-02,10.441666666666666,0.482961976076527,0.48299501939660217,0.4831147885201364,0.4829591702211068,3.3043320075143434e-05,0.00015281244360937363,-2.805855420229264e-06
2037-01-09,10.46111111111111,0.48227340582113837,0.48230296350196816,0.48243346164326123,0.4822706639307472,2.955768082979482e-05,0.00016005582212286207,-2.7418903911780035e-06
2037-01-16,10.480555555555556,0.4815857490996228,0.48161189921458075,0.48175299439794056,0.4815830804552925,2.6150114957934623e-05,0.00016724529831774193,-2.6686443302947893e-06
2037-01-23,10.5,0.480899005391034,0.48092182511362275,0.48107338585744225,0.48089641899348656,2.281972258877385e-05,0.00017438046640827487,-2.586397547410524e-06
2037-01-30,10.519444444444444,0.4802131741699683,0.4802327397803126,0.4803946350957997,0.48021067874312895,1.9565610344329798e-05,0.0001814609258314337,-2.4954268393329038e-06
2037-02-06,10.53888888888889,0.4795282549065919,0.47954464179790196,0.479716741187813,0.47952585890108274,1.638689131006066e-05,0.00018848628122108968,-2.3960055091643007e-06
2037-02-13,10.558333333333334,0.4788442470666672,0.47885752975167223,0.47903970320904754,0.4788419586632819,1.3282685005056027e-05,0.00019545614238036801,-2.288403385286575e-06
2037-02-20,10.577777777777778,0.4781611501115787,0.4781714022289319,0.47836352023583434,0.4781589772247377,1.0252117353171109e-05,0.00020237012425561307,-2.1728868410120228e-06
2037-02-27,10.597222222222221,0.47747896349836005,0.47748625781901366,0.47768819134526935,0.4774769137795467,7.294320653605801e-06,0.00020922784690929896,-2.0497188133461464e-06
2037-03-06,10.616666666666667,0.47679768667972,0.4768020951132715,0.4770137156152134,0.4767957675208975,4.4084335514837925e-06,0.0002160289354933842,-1.919158822527578e-06
2037-03-13,10.636111111111111,0.4761173191040692,0.4761189127050777,0.4763400921242917,0.4761155376410778,1.5936010085426666e-06,0.00022277302022249978,-1.7814629914014724e-06
2037-03-20,10.655555555555555,0.4754378602155462,0.4754367091898201,0.47566731995189393,0.4754362233314817,-1.1510257260649581e-06,0.00022945973634774797,-1.6368840644598315e-06
2037-03-27,10.675,0.47475930945404443,0.474755483164899,0.4749953981781732,0.4747578237826168,-3.8262891454143855e-06,0.00023608872412878013,-1.4856714276589855e-06
2037-04-03,10.694444444444445,0.47408166625523834,0.4740752332297247,0.47432432588404666,0.47408033818411116,-6.433025513619128e-06,0.00024265962880831715,-1.328071127182362e-06
2037-04-10,10.713888888888889,0.4734049300506101,0.473395957985714,0.4736541021511943,0.47340376572472037,-8.972064896084486e-06,0.00024917210058422734,-1.1643258897020559e-06
2037-04-17,10.733333333333333,0.4727291002674753,0.4727176560362876,0.4729847260620594,0.4727281055923346,-1.1444231187651699e-05,0.0002556257945841023,-9.946751406975096e-07
2037-04-24,10.752777777777778,0.4720541763290103,0.47204032598686774,0.4723161966998476,0.47205335697398554,-1.3850342142573968e-05,0.00026202037083727925,-8.193550247725945e-07
2037-05-01,10.772222222222222,0.4713801576542786,0.4713639664448744,0.4716485131485271,0.4713795190558537,-1.6191209404214923e-05,0.0002683554942485289,-6.385984249179799e-07
2037-05-08,10.791666666666666,0.4707070436582565,0.4706885760197231,0.4709816744928282,0.4707065910232749,-1.846763853341482e-05,0.00027463083457168747,-4.526349816069697e-07
2037-05-15,10.811111111111112,0.47003483375186,0.4700141533228218,0.47031567981824257,0.4700345720607474,-2.0680429038189008e-05,0.00028084606638256737,-2.6169111261298283e-07
2037-05-22,10.830555555555556,0.4693635273419717,0.46934069696756825,0.46965052821102354,0.469363461351939,-2.283037440342639e-05,0.0002870008690518677,-6.599003266050119e-08
